name	accession	country	date	WA	improvedname	lineage
B_FJ168778	FJ168778	Netherlands	1994-01-07	GB	FJ168778_Netherlands_1994-01-07	B.2
B_KJ627432	KJ627432	Peru	2009-11-30	GB	KJ627432_Peru_2009-11-30	B.2
B_KJ627400	KJ627400	Peru	2010-07-23	GB	KJ627400_Peru_2010-07-23	B.2
B_KJ627414	KJ627414	Peru	2010-08-06	GB	KJ627414_Peru_2010-08-06	B.2
B_KJ627397	KJ627397	Peru	2010-12-17	GB	KJ627397_Peru_2010-12-17	B.2
B_HM197719	HM197719	Rwanda	2008	GB	HM197719_Rwanda_2008	B.2
B_KC562227	KC562227	USA	1996	GB	KC562227_USA_1996	B.2
B_KY967366	KY967366	USA	2015	GB	KY967366_USA_2015	B.2
B_MF045425	MF045425	USA	2015	GB	MF045425_USA_2015	B.2
B_MT118687	MT118687	USA	2019	GB	MT118687_USA_2019	B.2
B_MT118689	MT118689	USA	2019	GB	MT118689_USA_2019	B.2
B_MT118695	MT118695	USA	2019	GB	MT118695_USA_2019	B.2
B_MT118703	MT118703	USA	2019	GB	MT118703_USA_2019	B.2
B_MT118705	MT118705	USA	2019	GB	MT118705_USA_2019	B.2
B_MT118706	MT118706	USA	2019	GB	MT118706_USA_2019	B.2
B_MT118715	MT118715	USA	2019	GB	MT118715_USA_2019	B.2
B_MT118717	MT118717	USA	2019	GB	MT118717_USA_2019	B.2
B_PQ287511	PQ287511	USA	2022	GB	PQ287511_USA_2022	B.2
B_KC403971	KC403971	USA	1991-03-08	GB	KC403971_USA_1991-03-08	B.2
B_KC403972	KC403972	USA	1991-03-12	GB	KC403972_USA_1991-03-12	B.2
B_KC562237	KC562237	USA	1995-02-28	GB	KC562237_USA_1995-02-28	B.2
B_KC562239	KC562239	USA	1995-11-01	GB	KC562239_USA_1995-11-01	B.2
B_KC562229	KC562229	USA	1996-02-08	GB	KC562229_USA_1996-02-08	B.2
B_KC562238	KC562238	USA	1996-03-13	GB	KC562238_USA_1996-03-13	B.2
B_KC562228	KC562228	USA	1997-02-24	GB	KC562228_USA_1997-02-24	B.2
B_KC562222	KC562222	USA	1997-02-25	GB	KC562222_USA_1997-02-25	B.2
B_JN184402	JN184402	USA	1999-04-01	GB	JN184402_USA_1999-04-01	B.2
B_KC562232	KC562232	USA	2001-02-06	GB	KC562232_USA_2001-02-06	B.2
B_PP947587	PP947587	USA	2019-01-26	GB	PP947587_USA_2019-01-26	B.2
B_PP947617	PP947617	USA	2019-02-14	GB	PP947617_USA_2019-02-14	B.2
B_PP947580	PP947580	USA	2019-02-26	GB	PP947580_USA_2019-02-26	B.2
B_PP947640	PP947640	USA	2019-03-12	GB	PP947640_USA_2019-03-12	B.2
B_PP947697	PP947697	USA	2019-03-12	GB	PP947697_USA_2019-03-12	B.2
B_PP947582	PP947582	USA	2019-04-14	GB	PP947582_USA_2019-04-14	B.2
B_PP947686	PP947686	USA	2019-05-01	GB	PP947686_USA_2019-05-01	B.2
B_PP947561	PP947561	USA	2019-05-15	GB	PP947561_USA_2019-05-15	B.2
B_PP947658	PP947658	USA	2019-06-03	GB	PP947658_USA_2019-06-03	B.2
B_PP947554	PP947554	USA	2019-06-07	GB	PP947554_USA_2019-06-07	B.2
B_PP947626	PP947626	USA	2019-10-13	GB	PP947626_USA_2019-10-13	B.2
B_PP947630	PP947630	USA	2019-11-02	GB	PP947630_USA_2019-11-02	B.2
B_PP947604	PP947604	USA	2019-11-23	GB	PP947604_USA_2019-11-23	B.2
B_PP947588	PP947588	USA	2019-11-27	GB	PP947588_USA_2019-11-27	B.2
B_PP947682	PP947682	USA	2019-11-30	GB	PP947682_USA_2019-11-30	B.2
B_PP947683	PP947683	USA	2019-11-30	GB	PP947683_USA_2019-11-30	B.2
B_PP947576	PP947576	USA	2019-12-09	GB	PP947576_USA_2019-12-09	B.2
B_PP947663	PP947663	USA	2019-12-13	GB	PP947663_USA_2019-12-13	B.2
B_PP947596	PP947596	USA	2019-12-14	GB	PP947596_USA_2019-12-14	B.2
B_PP947637	PP947637	USA	2019-12-14	GB	PP947637_USA_2019-12-14	B.2
B_PP947670	PP947670	USA	2019-12-15	GB	PP947670_USA_2019-12-15	B.2
B_PP947623	PP947623	USA	2019-12-22	GB	PP947623_USA_2019-12-22	B.2
B_PP947566	PP947566	USA	2019-12-23	GB	PP947566_USA_2019-12-23	B.2
B_PP947678	PP947678	USA	2019-12-23	GB	PP947678_USA_2019-12-23	B.2
B_PP947702	PP947702	USA	2019-12-25	GB	PP947702_USA_2019-12-25	B.2
B_PP947578	PP947578	USA	2019-12-27	GB	PP947578_USA_2019-12-27	B.2
B_PP947703	PP947703	USA	2019-12-27	GB	PP947703_USA_2019-12-27	B.2
B_PP947691	PP947691	USA	2020	GB	PP947691_USA_2020	B.2
B_PP947619	PP947619	USA	2020-01-02	GB	PP947619_USA_2020-01-02	B.2
B_PP947659	PP947659	USA	2020-01-03	GB	PP947659_USA_2020-01-03	B.2
B_PP947680	PP947680	USA	2020-01-12	GB	PP947680_USA_2020-01-12	B.2
B_PP947560	PP947560	USA	2020-01-23	GB	PP947560_USA_2020-01-23	B.2
B_PP947603	PP947603	USA	2020-01-27	GB	PP947603_USA_2020-01-27	B.2
B_PP947558	PP947558	USA	2020-01-28	GB	PP947558_USA_2020-01-28	B.2
B_PP947629	PP947629	USA	2020-01-29	GB	PP947629_USA_2020-01-29	B.2
B_PP947681	PP947681	USA	2020-01-29	GB	PP947681_USA_2020-01-29	B.2
B_PP947672	PP947672	USA	2020-02-11	GB	PP947672_USA_2020-02-11	B.2
B_PP947592	PP947592	USA	2020-02-12	GB	PP947592_USA_2020-02-12	B.2
B_PP947579	PP947579	USA	2020-02-13	GB	PP947579_USA_2020-02-13	B.2
B_PP947668	PP947668	USA	2020-02-13	GB	PP947668_USA_2020-02-13	B.2
B_PP947614	PP947614	USA	2020-02-16	GB	PP947614_USA_2020-02-16	B.2
B_PP947689	PP947689	USA	2020-02-23	GB	PP947689_USA_2020-02-23	B.2
B_PP947565	PP947565	USA	2020-02-25	GB	PP947565_USA_2020-02-25	B.2
B_PP947608	PP947608	USA	2020-03-04	GB	PP947608_USA_2020-03-04	B.2
B_PP947564	PP947564	USA	2020-03-05	GB	PP947564_USA_2020-03-05	B.2
B_PP947570	PP947570	USA	2020-03-05	GB	PP947570_USA_2020-03-05	B.2
B_PP947690	PP947690	USA	2020-03-23	GB	PP947690_USA_2020-03-23	B.2
B_PP947601	PP947601	USA	2020-03-30	GB	PP947601_USA_2020-03-30	B.2
B_PP947577	PP947577	USA	2020-04-06	GB	PP947577_USA_2020-04-06	B.2
B_PP947639	PP947639	USA	2022-04-29	GB	PP947639_USA_2022-04-29	B.2
WA_045394_2022-12-02	WA-045394	USA	2022-12-02	WA	WA-045394_USA_2022-12-02	B.2
WA_063054_2023-03-04	WA-063054	USA	2023-03-04	WA	WA-063054_USA_2023-03-04	B.2
WA_084218_2023-04-06	WA-084218	USA	2023-04-06	WA	WA-084218_USA_2023-04-06	B.2
WA_090905_2023-03-07	WA-090905	USA	2023-03-07	WA	WA-090905_USA_2023-03-07	B.2
WA_107396_2023-03-07	WA-107396	USA	2023-03-07	WA	WA-107396_USA_2023-03-07	B.2
WA_150436_2024-06-11	WA-150436	USA	2024-06-11	WA	WA-150436_USA_2024-06-11	B.2
WA_161535_2024-05-11	WA-161535	USA	2024-05-11	WA	WA-161535_USA_2024-05-11	B.2
WA_162876_2024-05-11	WA-162876	USA	2024-05-11	WA	WA-162876_USA_2024-05-11	B.2
WA_172611_2023-04-10	WA-172611	USA	2023-04-10	WA	WA-172611_USA_2023-04-10	B.2
WA_177246_2023-03-13	WA-177246	USA	2023-03-13	WA	WA-177246_USA_2023-03-13	B.2
WA_181717_2024-12-12	WA-181717	USA	2024-12-12	WA	WA-181717_USA_2024-12-12	B.2
WA_204337_2024-07-23	WA-204337	USA	2024-07-23	WA	WA-204337_USA_2024-07-23	B.2
WA_219330_2023-02-14	WA-219330	USA	2023-02-14	WA	WA-219330_USA_2023-02-14	B.2
WA_243341_2023-05-16	WA-243341	USA	2023-05-16	WA	WA-243341_USA_2023-05-16	B.2
WA_266490_2023-03-17	WA-266490	USA	2023-03-17	WA	WA-266490_USA_2023-03-17	B.2
WA_314191_2023-03-20	WA-314191	USA	2023-03-20	WA	WA-314191_USA_2023-03-20	B.2
WA_324028_2024-05-21	WA-324028	USA	2024-05-21	WA	WA-324028_USA_2024-05-21	B.2
WA_324547_2023-04-22	WA-324547	USA	2023-04-22	WA	WA-324547_USA_2023-04-22	B.2
WA_334458_2024-07-19	WA-334458	USA	2024-07-19	WA	WA-334458_USA_2024-07-19	B.2
WA_335046_2024-04-22	WA-335046	USA	2024-04-22	WA	WA-335046_USA_2024-04-22	B.2
WA_345469_2023-05-22	WA-345469	USA	2023-05-22	WA	WA-345469_USA_2023-05-22	B.2
WA_384563_2023-03-24	WA-384563	USA	2023-03-24	WA	WA-384563_USA_2023-03-24	B.2
WA_421895_2024-06-27	WA-421895	USA	2024-06-27	WA	WA-421895_USA_2024-06-27	B.2
WA_439738_2024-05-29	WA-439738	USA	2024-05-29	WA	WA-439738_USA_2024-05-29	B.2
WA_9C3KQD_2022-12-05	WA-9C3KQD	USA	2022-12-05	WA	WA-9C3KQD_USA_2022-12-05	B.2
WA_LC27_2023-03-01	WA-LC27	USA	2023-03-01	WA	WA-LC27_USA_2023-03-01	B.2
WA_LC28_2023-04-01	WA-LC28	USA	2023-04-01	WA	WA-LC28_USA_2023-04-01	B.2
WA_LC32_2023-04-01	WA-LC32	USA	2023-04-01	WA	WA-LC32_USA_2023-04-01	B.2
WA_LC46_2023-05-01	WA-LC46	USA	2023-05-01	WA	WA-LC46_USA_2023-05-01	B.2
WA_LC50_2023-06-01	WA-LC50	USA	2023-06-01	WA	WA-LC50_USA_2023-06-01	B.2
WA_LC54_2023-11-01	WA-LC54	USA	2023-11-01	WA	WA-LC54_USA_2023-11-01	B.2
WA_LCB60_2024-11-01	WA-LCB60	USA	2024-11-01	WA	WA-LCB60_USA_2024-11-01	B.2
WA_LCB62_2024-11-01	WA-LCB62	USA	2024-11-01	WA	WA-LCB62_USA_2024-11-01	B.2
WA_LCB65_2024-12-01	WA-LCB65	USA	2024-12-01	WA	WA-LCB65_USA_2024-12-01	B.2
WA_LCB66_2024-12-01	WA-LCB66	USA	2024-12-01	WA	WA-LCB66_USA_2024-12-01	B.2
WA_LCB69_2024-12-01	WA-LCB69	USA	2024-12-01	WA	WA-LCB69_USA_2024-12-01	B.2
B_MH828685	MH828685	Viet Nam	2014-11-27	GB	MH828685_Viet Nam_2014-11-27	B.2
B_PQ634880	PQ634880	USA	2020-01-31	GB	PQ634880_USA_2020-01-31	B.2
B_PQ634882	PQ634882	USA	2020-02-15	GB	PQ634882_USA_2020-02-15	B.2
B_PQ634886	PQ634886	USA	2020-01-30	GB	PQ634886_USA_2020-01-30	B.2
B_PQ634887	PQ634887	USA	2019-12-25	GB	PQ634887_USA_2019-12-25	B.2
B_PQ634891	PQ634891	USA	2019-12-27	GB	PQ634891_USA_2019-12-27	B.2
B_PQ634892	PQ634892	USA	2020-02-21	GB	PQ634892_USA_2020-02-21	B.2
B_PQ634899	PQ634899	USA	2020-03-07	GB	PQ634899_USA_2020-03-07	B.2
B_PQ634902	PQ634902	USA	2020-01-04	GB	PQ634902_USA_2020-01-04	B.2
B_PQ634906	PQ634906	USA	2020-01-31	GB	PQ634906_USA_2020-01-31	B.2
B_PQ634907	PQ634907	USA	2020-02-26	GB	PQ634907_USA_2020-02-26	B.2
B_PQ634909	PQ634909	USA	2020-02-18	GB	PQ634909_USA_2020-02-18	B.2
B_PQ634910	PQ634910	USA	2020-01-02	GB	PQ634910_USA_2020-01-02	B.2
B_PQ634911	PQ634911	USA	2020-01-11	GB	PQ634911_USA_2020-01-11	B.2
B_PQ634916	PQ634916	USA	2019-03-06	GB	PQ634916_USA_2019-03-06	B.2
B_PQ634919	PQ634919	USA	2021-11-30	GB	PQ634919_USA_2021-11-30	B.2
B_PQ634926	PQ634926	USA	2020-02-24	GB	PQ634926_USA_2020-02-24	B.2
B_PQ634933	PQ634933	USA	2020-01-14	GB	PQ634933_USA_2020-01-14	B.2
B_PQ634934	PQ634934	USA	2019-12-19	GB	PQ634934_USA_2019-12-19	B.2
B_PQ634935	PQ634935	USA	2020-01-16	GB	PQ634935_USA_2020-01-16	B.2
B_PQ634936	PQ634936	USA	2022-01-30	GB	PQ634936_USA_2022-01-30	B.2
B_PQ634939	PQ634939	USA	2021-12-25	GB	PQ634939_USA_2021-12-25	B.2
B_PQ634940	PQ634940	USA	2022-02-14	GB	PQ634940_USA_2022-02-14	B.2
B_PQ634942	PQ634942	USA	2019-12-10	GB	PQ634942_USA_2019-12-10	B.2
B_PQ634947	PQ634947	USA	2020-02-14	GB	PQ634947_USA_2020-02-14	B.2
B_PQ634953	PQ634953	USA	2022-04-08	GB	PQ634953_USA_2022-04-08	B.2
B_PQ634958	PQ634958	USA	2019-12-18	GB	PQ634958_USA_2019-12-18	B.2
B_PQ634959	PQ634959	USA	2020-02-08	GB	PQ634959_USA_2020-02-08	B.2
B_PQ634960	PQ634960	USA	2019-12-27	GB	PQ634960_USA_2019-12-27	B.2
B_PQ634961	PQ634961	USA	2022-01-18	GB	PQ634961_USA_2022-01-18	B.2
